pair_id	disease_bam	control_bam
CT000001_3096-PBK-0047_vs_0103	CT000001_disease_3096-PBK-0047_SL102337.bam	CT000001_control_3096-PBK-0103_SL107661.bam
CT000002_3096-PBK-0049_vs_0104	CT000002_disease_3096-PBK-0049_SL102338.bam	CT000002_control_3096-PBK-0104_SL107662.bam
CT000003_3096-PBK-0053_vs_0105	CT000003_disease_3096-PBK-0053_SL102340.bam	CT000003_control_3096-PBK-0105_SL107663.bam
CT000004_3096-PBK-0057_vs_0106	CT000004_disease_3096-PBK-0057_SL115258.bam	CT000004_control_3096-PBK-0106_SL107664.bam
CT000005_3096-PBK-0063_vs_0107	CT000005_disease_3096-PBK-0063_SL102344.bam	CT000005_control_3096-PBK-0107_SL107665.bam
CT000006_3096-PBK-0065_vs_0108	CT000006_disease_3096-PBK-0065_SL102345.bam	CT000006_control_3096-PBK-0108_SL107666.bam
CT000008_3096-PBK-0070_vs_0109	CT000008_disease_3096-PBK-0070_SL102346.bam	CT000008_control_3096-PBK-0109_SL107667.bam
CT000009_3096-PBK-0073_vs_0110	CT000009_disease_3096-PBK-0073_SL107656.bam	CT000009_control_3096-PBK-0110_SL107668.bam
